英単語,訳,発音記号（IPA）,解説
alas,"嗚呼；残念ながら,悲しいことに.",əˈlæs,"ああ,あわれ(悲しみ・後悔などを表す声)"
albeit,（接）...だけれども；たとえ…でも,ɔlˈbiɪt,"…にもかかわらず,たとえ…でも(although)"
alert,警報,əˈlɜrt,"『油断のない』,用心深い / (頭の回転・動作などが)機敏な / (動作が)敏しょうな / 〈U〉《しばしばthe ~》警戒,用心 / 〈C〉警報;警報発令期間 / (…に対して)…‘に'警報(警告)を出す,警戒態勢をとらせる《+『名』+『to』+『名』》"
algorithm,アルゴリズム,ˈælgəˌrɪðəm,アルゴリズム(最大公約数を求める互除法などの演算方式)
align,一直線にする；提携する,əˈlaɪn,"…'を'一列に並べる,整列させる / (…と)…'を'提携させる,連合させる《+『名』+『with』+『名』》 / 一列に並ぶ / (…と)提携する《+『with』+『名』》"
alike,共に,əˈlaɪk,"『同じように』,等しく(similarly) / (複数の人・物が)似ている(similar)"
allegation,申し立て,ˌæləˈgeɪʃən,"(十分な証拠を持たない)主張,申し立て"
allegedly,伝えられるところでは,əˈlɛʤədli,"申し立てによれば,伝えられるところでは"
alliance,同盟；提携,əˈlaɪəns,"〈U〉〈C〉(国家間の)同盟,協定;〈C〉同盟国 / 〈U〉〈C〉(個人・組織間の)協力,提携 / 〈U〉〈C〉(…との)縁組み,姻戚関係;交友《+『with』+『名』》"
allocate,割り当てる,ˈæləˌkeɪt,"(…に)…'を'配分する,割り当てる《+『名』+『to』(『for』)+『名』》"
allocation,割り当て,ˌæləˈkeɪʃən,"(…への)割り当て,配置;〈C〉割り当て額(量)《+『to』(『for』)+『名』)》"
allowance,手当,əˈlaʊəns,"『割り当て』;(定期的な)手当,こづかい / 値引き,割引き"
alpha,アルファ；初めのもの,ˈælfə,"アルファ(ギリシア語アルファベットの第1字Α,α;英語のA,aに相当) / アルファ星(星座の主星)"
aluminum,アルミニウム,əˈlumənəm,《米》アルミニウム(金属元素の一つ;化学記号は『Al』;《英》alminium)
ambassador,大使,æmˈbæsədər,『大使』
ambition,野心,æmˈbɪʃən,"『大望』,野心,野望 / 〈C〉大望(野心)の対象(目的)"
ambitious,野心的な,æmˈbɪʃəs,"『大望を抱いた』,野心のある,大志を抱いた / (仕事・計画などが)野心的な,大がかりな;(悪い意味で)大げさな,高望みの"
amend,修正する,əˈmɛnd,"…'を'『改める』,改良する / (正式に)〈議案など〉'を'修正する,改正する / 品行を改める,行いを良くする"
amid,の真ん中に；の最中に,əˈmɪd,…の中に;…のまっさい中に
amongst,の間に,əˈmʌŋst,=among
amortization,償却,ˌæmərtɪˈzeɪʃən,
amortize,定期的に返済する,ˈæmərˌtaɪz,〈抵当・負債など〉'を'清算する;(特に減債基金で)…'を'償却する
analytic,分析,ˌænəˈlɪtɪk,"分析的な,分解的な,解析的"
analytical,分析,ˌænəˈlɪtɪkəl,"分析的な,分解的な,解析的"
anniversary,記念日,ˌænəˈvɜrsəri,"(年ごとの)『記念日』,記念祭 / 記念日の"
annualize,年間で〜になる；〜を年間で計算する,ˈænjuwəˌlaɪz,
annually,毎年,ˈænjuəli,"年々,毎年 / 年に1回"
annuity,年金,əˈnuəti,"年金,年賦金"
annum,年間,ˈænəm,
anti,反,ˈænti,《話》(特定の慣習・政策・行動などに)反対する人
antitrust,独占禁止,ˌæntaɪˈtrʌst,"トラスト反対の,独占禁止の"
appetite,食欲,ˈæpəˌtaɪt,"『食欲』 / (…に対する)『欲求』,切望(desire)《+『for』+『名』》"
apple,林檎,ˈæpəl,『リンゴ』;リンゴの木
appliance,器具,əˈplaɪəns,"(特に家庭で用いる)器具,機械,装置"
applicable,適用できる；応用できる；効力がある；ふさわしい；該当する,ˈæpləkəbəl,適用(応用)できる;(…に)適用できる《+『to』+『名』》
applicant,申請者,ˈæplɪkənt,"(…に対する)志願者,応募者《+『for』+『名』》"
appraisal,鑑定,əˈpreɪzəl,評価;鑑定;(物の)値踏み
appreciation,感謝,əˌpriʃiˈeɪʃən,"〈U〉(…を)『正しく認識すること』,(…の)識別,評価《+『of』+『名』》 / 〈U〉《時にan~》(文学・芸術などの)理解,鑑賞;批評,論評《+『of』+『名』》 / 〈U〉(…に対する)感謝《+『for』+『名』》 / 〈U〉《時にa~》(価格の)騰貴"
appropriately,適当に,əˈproʊpriɪtli,"適当に,適切に,ふさわしく"
approximate,近似,əˈprɑksəmət,"(数量の点で)『近似の』・おおよその / 《『approximate to』+『名』》(…に)『近い』,ほぼ等しい / (ある状態・量・額などの点で)…‘に'『近づく』,接近する / (…の額に)…'を'概算する,見積もる《+『名』+『at』+『名』》"
approximation,近似値,əˌprɑksəˈmeɪʃən,"接近,近似 / 概算 / 近似値"
arbitrage,さや取り,ˈɑrbɪˌtrɑʒ,(為替・株式などの)さやとり売買;裁定取引
arbitrary,【形】任意の；恣意的な；独断的な；専制的な,ˈɑrbəˌtrɛri,"随意の,任意の,気まぐれな(capricious) / 独裁的な,独断的な,専横な(despotic)"
arbitration,仲裁,ˌɑrbɪˈtreɪʃən,"仲裁,裁定;仲裁裁判"
architect,建築家,ˈɑrkəˌtɛkt,"『建築家』,建築技師 / (特に長期にわたる作業計画・事業などの)創始者,創案者,計画者"
archive,アーカイブ；古記録；保管する,ˈɑrˌkaɪv,
arguably,間違いなく,ˈɑrgjuəbli,
array,整列；配列；配置される,əˈreɪ,"〈軍隊など〉'を'整列させる,配置する / 《文》〈人〉‘に'衣類を着せる,(特に)〈人〉'を'盛装させる / 〈U〉整列,陳列 / (…の)整列(配置)した物(人),勢ぞろい《+『of』+『名』(複数)》 / 〈U〉衣装,(特に)美しい装い"
artificial,人工的な,ˌɑrtəˈfɪʃəl,"『人造の』,『人工の』,人為的な / 模造の / 不自然な,見せかけの"
aspect,側面,ˈæˌspɛkt,"〈C〉〈U〉《文》(人の)『顔つき』,『表情』 / 〈C〉〈U〉(物の)『外観』,『様子』 / 〈C〉(思想・状況・計画などの)『様相』,局面,面 / 〈C〉(家・部屋などの)向き,方向"
assault,暴行,əˈsɔlt,"(暴力で,時に比喩(ひゆ)的な意で)(…を)『襲うこと』,強襲,攻撃《+『against』(『on』)+『名 』》 / (法律用語で)暴行 / 〈場所〉'を'襲撃する;〈人〉‘に'暴行を加える / 〈人・物〉'を'非難する"
assemble,組み立てる,əˈsɛmbəl,"(ある目的で)〈人・物〉'を'『集める』,集合させる / (部品を集めて)〈機械など〉'を'『組み立てる』 / …'を'整とんする,きちんと並べる / (人が)集まる,会合する(meet)"
assembly,議会；集会；組み立て,əˈsɛmbli,"〈C〉(特定の目的をもった)『集会』,『会合』,会議 / 《A-》(米国州議会の)下院 / 〈U〉(機械の)組立て;〈C〉組立て部品"
assert,主張する,əˈsɜrt,"…'を'『断言する』,力説する(affirm)"
assertion,主張；明言,əˈsɜrʃən,"〈C〉(しばしば根拠のない)『断言』,主張 / 〈U〉主張(断言)すること"
assignment,割り当て,əˈsaɪnmənt,"〈C〉割り当てられた仕事(持ち場,任務);《米》(学校の)宿題 / 〈U〉(仕事などに)任命する(される)こと,(日時などを)指定すること《+『to』+『名』》"
assurance,保証,əˈʃʊrəns,"〈C〉『保証』,請け合い / 〈U〉『確信』,自信 / 〈U〉《英》保険(insurance)"
asylum,収容所,əˈsaɪləm,"(孤児・盲人・狂人などの)保護収容所,養育院;〈U〉避難,保護"
atom,原子,ˈætəm,"『原子』 / 微量,非常な少量;《a~》微量,わずか(の…)《+『of』+『名』》"
attain,達成する,əˈteɪn,"〈目的・望みなど〉'を'『達成する』,獲得する(gain, accomplish) / 〈高い所・ある年齢など〉‘に'『達する』(reach, come to) / (努力して)(…に)到達する《+『to』+『名』》"
attorney,代理人,əˈtɜrni,《米》=lawyer / 代理人
attributable,(be)に起因すると思われて；せいと考えられていて,əˈtrɪbjətəbəl,"(原因などが)(…の)せいにできる,(…に)起因する;(…に)備わった;(…の)作と考えられる《+『to』+『名』》"
auction,競売,ˈɑkʃən,"〈C〉〈U〉『競売』,せり売り / 〈U〉=auction bridge / 〈物〉'を'競売にかける,せり売りする"
audio,音声；オーディオ,ˈɑdiˌoʊ,"(電波の)可聴周波の,低周波の;(テレビの)音声の / (テレビの)音声[部門]"
audit,監査,ˈɔdɪt,会計検査(監査) / 決算報告[書] / …‘の'会計検査(監査)をする / 《米》(大学の講義)'を'聴講する / 会計検査(監査)をする
auditor,監査役,ˈɔdɪtər,"《まれ》聞き手,傍聴人 / 会計検査官,監査役 / 《米》(大学で単位を取らない)聴講生"
authority,権限,əˈθɔrəti,"〈U〉(地位の持つ,また職能上与えられた)『権威』,『権力』,権限,権能 / 〈C〉『権力者』,権限者;《複数形で》『当局』,その筋,官庁 / 〈C〉(情報・助言などの)信頼すべき筋,信頼できる根拠;典拠 / 〈C〉(その道の)大家,権威(expert)《+『on』+『名』》"
authorization,認定,ˌɔθərəˈzeɪʃən,"権限を与えること,委任;許可すること"
authorize,権威を与える；正式に許可する,ˈɔθəˌraɪz,"〈人〉‘に'(…する)権限を与える《+『名』〈人〉+『to』 do》 / 〈物事〉'を'正式に認可する,公認する;(慣例によって)…'を'認める"
auto,オート；自動車,ˈɔtoʊ,《米話》=automobile
automate,自動化,ˈɔtəˌmeɪt,"〈工場・機械〉‘に'自動装置をつける,'を'オートメーション化する"
automatic,自動式の；機械的な,ˌɔtəˈmætɪk,"『自動の』,自動装置(機械)の / (行動などが)『無意識の』,機械的な / (銃砲が)自動式の / 自動機械 / 自動式ライフル(ピストル)"
automobile,自動車,ˈɔtəmoʊˌbil,《米》『自動車』 / 自動の;自動車の
autonomous,自主的な,ɔˈtɑnəməs,"自治の,自治権のある"
autonomy,自治,ɔˈtɑnəmi,"〈U〉(行動などの)自主性 / 〈U〉自治,自治権 / 〈C〉自治体,自治団体"
availability,可用性,əˌveɪləˈbɪləti,"利用できること,有用性,利用価値"
averse,嫌って；気が進まなくて；反対して,əˈvɜrs,(…を)きらっている《+『to』(『from』)+『名』(do『ing』)》
aversion,嫌悪,əˈvɜrʒən,"〈U〉(…に対する)嫌悪(けんお),けぎらい《+『to』+『名』(do『ing』)》 / 〈C〉大きらいな人(もの)"
aviation,"航空；飛行術,航空学；航空機産業",ˌeɪviˈeɪʃən,"飛行,航空;飛行術 / 航空機産業"
await,待つ,əˈweɪt,"〈人が〉…'を'『待つ』 / 〈物・事が〉〈人〉'を'待ちうける,待ちかまえる"
awkward,気まずい；ぎこちない,ˈɑkwərd,"(人・動作などが)『ぶかっこうな』,『ぎごちない』,無器用な(clumsy) / (物が)『扱いにくい』,使いにくい / (状態・問題などが)『やっかいな』,始末に困る"
axis,軸,ˈæksəs,"〈C〉軸,軸線;枢軸(すうじく) / 《the A-》枢軸国(第二次大戦当時の日本・ドイツ・イタリアなど)"
backward,後方,ˈbækwərd,"《名詞の前にのみ用いて》(方向が)『後方への』,もとへの / 《名詞の前にのみ用いて》『逆の』,反対からの / 進歩(発達)が遅れている / (性格が)内気な(shy),隠っ込み祉案の / 『後方へ』,後ろ向きに / (方向・順序・時間が)『逆に』,反対に"
bail,【名/U】保釈；保釈金【C】保釈保証人【動/他】を保釈出所させる,beɪl,"【名/U】保釈;保釈金;〈C〉保釈保証人 
【動/他】 (保釈金を払って)…'を'保釈出所させる《+『名』+『out,』+『out』+『名』》"
ballot,票,ˈbælət,"〈C〉投票用紙 / 〈U〉〈C〉無記命投票,(一般に)投票 / 〈C〉投票総数 / 《the bal・lot》投票権 / 投票する,投票で決める"
banker,銀行家,ˈbæŋkər,"『銀行家』,銀行経営者 / (ゲームの)親,胴元"
bankrupt,破産,ˈbæŋkrəpt,"『破産者』,支払い不能債務者 / 『破産して』 / 《補語にのみ用いて》(…を)欠いて,(…に)欠ける《+『of』(『in』)+『名』》 / …'を'破産させる;…'を'行きづまらせる"
bankruptcy,倒産,ˈbæŋkrəptsi,"破産[状態],倒産 / (性格などの)破たん"
bargain,格安品；掘り出し物；交渉する,ˈbɑrgən,"『契約』,売買契約,取引き / 『安い買い物』;『堀り出し物』,見切り品 / 契約をする,条件を話し合う / 《『bargain』+『that』『節』》…であると契約する"
barrel,たる,ˈbærəl,"(胴のふくれた)『たる』 / (…の)1たる[の量]《+『of』+『名』》 / 銃身,砲身 / 《単数扱い》(…の)多量《+『of』+『名』》《話》 / …'を'たるに入れる,たるに詰める"
baseball,野球,ˈbeɪsˈbɔl,〈U〉『野球』
baseline,基準線,ˈbeɪˌslaɪn,基線 / (テニスコートの)ベースライン / (野球の)ベースライン
basket,バスケット；かご,ˈbæskət,"『かご』,『バスケット』 / (…の)かご1杯(basketful)《+『of』+『名』》 / (バスケットボールで)ゴールの網 / 得点"
batch,バッチ；一群,bæʧ,"(パンなどの)一焼き分《+『of』+『名』》 / (…の)1度分の[の分量]《+『of』+『名』》 / 《話》(…の)束;群,組《+『of』+『名』》"
battery,電池,ˈbætəri,"〈C〉砲兵中隊;砲列,砲台;(軍艦の)備砲 / 〈C〉『電池』,バッテリー / 〈C〉一組みの器具;(関連するものの)一群,一連《+『of』+『名』》 / 〈C〉(野球で)バッテリー(投手と捕手) / 〈U〉(法律用語で)殴打,暴行"
beam,ビーム；光の筋,bim,"〈C〉(建設の)『はり』,『けた』,横材 / 〈C〉(船の甲板を支える)横はり / 〈C〉(はかりの)さお;(織機の)糸巻き / 〈C〉『光線』,光束 / 〈C〉(顔などの)『輝き』,晴れやかさ / 〈C〉(船舶・航空機用の)信号電波 / 〈U〉最大船幅 / 《副詞[句]を伴って》『輝く』,光を発する / (…に)顔を輝かせる《+『at』(『on, upon』)+『名』》 / 〈光・熱〉'を'出す,発散する / (…に向けて)〈放送・無線信号〉'を'送る《+『名』+『at』(『to』)+『名』》 / …'を'顔を輝かせて言う"
beef,牛肉,bif,"〈U〉『牛肉』;(一般に)肉 / 〈C〉《おもに米》肉牛,食肉牛;(屠殺(とさつ)して処理した)牛 / 〈U〉《話》筋肉,力;体重,肉づき / 〈C〉《俗》不平,苦情 / (人に…について)不平をこぼす,ぶつぶつ言う《+『at』+『名』〈人〉+『about』+『名』》 / …を強化する,補強する"
behalf,味方；利益；(on ~ of A)Aの代理で,bɪˈhæf,"大義, 大目的; 支持, 利益; 《古》 点, 面"
behavioral,行動,bɪˈheɪvjərəl,行動の
benchmark,基準,ˈbɛnʧˌmɑrk,水準点(測量に用いる基準標識) / (評価などの)基準
beneficial,有益,ˌbɛnəˈfɪʃəl,"有益な,ためになる"
beneficiary,受益者,ˌbɛnəˈfɪʃiˌɛri,利益(恩恵)を受ける人 / 年金(保険金などの)受取人
beta,ベータ,ˈbeɪtə,"ベータ(ギリシア語アルファベットの第2文字;Β,β;英語のB,b に遭当)"
beverage,飲み物,ˈbɛvərɪʤ,"《文》『飲み物』,飲料(drink)"
bidder,入札者,ˈbɪdər,"(カードゲームで)せり札の宣言者 / せり手,入札者"
bilateral,"【形】相互[双方]の；左右相称の,両側性の；双務的な",baɪˈlætərəl,"両側のある,左右同形の / 双方の,二派の / (おもに法律で)相互に義務を負う,双務的な"
biography,伝記；経歴,baɪˈɑgrəfi,『〈C〉伝記』 / 〈U〉《集合的に》伝記文学
bitter,苦い,ˈbɪtər,"『苦い』 / 『つらい』　苦しい,きびしい,悲痛な / (寒気などが)『きびしい』 / 敵意に満ちた,恨みに思っている / 冷酷な;しんらつな;彼肉な / ひどく(bitterly) / 〈C〉《the bitter,the bitters》苦さ,苦しみ,つらさ,きびしさ / 〈U〉《英》苦味ビール(bitter beer) / 《複数形で》(カクテルなどに混ぜる)ビターズ,苦味剤"
blank,無表情な；空白の,blæŋk,"(紙が)『白紙の』;(欄が)空白の,書き入れていない / がらんとした,からの(empty);なんの装飾もない / 『ぼんやりした』,うつろな,無関心な / 全くの / 『空白』,空所 / 書き込み用紙(form) / 空虚;空(くう)の部分 / (語句・文学を伏せる場所に用いる)ダッシュ“‐"":Mr-某氏 / (またblank cartridge)(銑火器の)空包 / …'を'消す,削除する《+『名』+『out,』+『out』+『名』》 / 《米》〈相手〉‘に'試合で得点させない"
blast,爆風,blæst,"〈C〉(風の)『一吹き』,一陣の風;突風,疾風《+『of』+『名』》 / 〈C〉(穴から吹き出す空気の)一吹き / 〈C〉(笛・らっぱなどの)突然の大きな[不快な]音《+『of』+『名』》 / 〈C〉〈U〉爆破(explosion)《+『of』+『名』》 / 〈C〉(1回分の)発破,爆薬 / 〈C〉〈U〉爆風 / …'を'『爆破する』;…'を'爆破して作る(開く) / 《文》…'を'孫なう,台なしにする;〈霜などが〉…'を'枯 / 〈らっぱなど〉'を'急に大きく鳴らす / …'を'酷評する;(…について)〈人〉'を'こっぴどく叱る《+『名』+『about』+『名』(do『ing』)》 / …'を'のろう(damn)"
blend,混ぜ合わせる；組み合わせる,blɛnd,"(分離できないほどに)…'を'『混ぜ合わせる』;(…に)…'を'混ぜる《+『名』+『with』+『名』》 / 『混じる』;溶け合う / (…と)『調和する』《+『with』+『名』》(harmonize) / 『混合』,調合;〈C〉『混合物』"
blog,ブログ,blɔg,
boast,自慢,boʊst,"(…を)『自慢する』,鼻にかける《+『about』(『of』)+『名』(do『ing』)》 / …'を'『自慢する』,鼻にかける / …'を'『誇りとして持っている』,‘が'自慢の種である / 誇り / 『自慢』,自慢話"
bold,大胆な,boʊld,"『大胆な,恐れを知らない』(fearless) / ずぶとい,ずうずうしい / 太くて目立つ;(文字が)肉太の / けわしい"
bolster,強化する,ˈboʊlstər,(円筒形の)長まくら / (一般に)まくら / …'を'支える
bomber,爆撃機,ˈbɑmər,爆撃機 / 爆撃手 / 爆撃魔
bondholder,債券保有者,ˈbɑndˌhoʊldər,債券所有者
bonus,ボーナス,ˈboʊnəs,"ボーナス,特別手当;特別配当金 / 桂品,おまけ / 《話》思いがけない喜び[を与えるもの]"
born,生まれ,bɔrn,"bear〈他〉1の過去分詞(受動態にのみ用いる) / 《名詞の前にのみ用いて》『生まれながらの』,先天的な(innate) / 『生まれた』;生じた"
borrower,借り手,ˈbɑroʊər,
bounce,跳ねる；弾む,baʊns,"〈ボールなどが〉『はずむ』,はる返る / 〈人が〉『はねる』 / …'を'『はずませる』,はる返らせる / 〈C〉『はね返り』,はずみ / 〈U〉『弾力』 / 〈U〉《話》元気,活気"
bound,限界；境界；はずむ,baʊnd,"《副詞[句]を伴って》『はね上がる』,はね飛ぶ,はね返る / 〈心が〉おどる,わくわくする / 『はずみ』,はね返り;『跳躍』"
boycott,ボイコット,ˈbɔɪˌkɑt,"…‘に'対して不買同盟する,(同盟して)…'を'排斥する / 不買同盟,ボイコット"
bracket,ブラケット；かっこ類；ひとくくりにする,ˈbrækɪt,"(たななどを支える)腕木,たな受け,持ち送り / (腕木に支えられた)たな,張り出しだな / 《複数形で》かっこ,角がっこ([ ]など) / (同類の人の)群,階層 / 〈たななど〉‘に'腕木をつける / …'を'かっこで囲む / …'を'同類としてまとめる"
brave,勇敢な；勇者,breɪv,"『勇敢な,勇ましい』 / 《文》はなやかな…みごとな / 勇士 / 北市インディアンの戦士 / 〈困難など〉‘に'勇敢に立ち向かう,〈危険〉'を'ものともしない"
breach,違反,briʧ,"(法律・約束・道徳・義務などを)破ること,破棄,違反,不履行《+『of』+『名』》 / (…の)違犯,侵害,妨害(violation)《+『of』+『名』》 / (…との)仲たがい,絶交,断絶《+『with』+『名』》 / 裂け目…(城壁・とりでなどの)突破口 / 〈城壁・とりでなど〉'を'突破する,‘に'突破口を作る"
breakdown,壊す,ˈbreɪkˌdaʊn,"(列車・機械などの)故障,破損 / 病気で倒れること,衰弱 / 分析"
breakthrough,突破口,ˈbreɪkˌθru,"敵陣突破[作戦];(ある事態・線の)突破 / (科学などの)新機軸,新発見,成功,大躍進"
bribe,賄賂,braɪb,"『わいろ』 / 〈人〉‘に'『わいろを贈る』,わいろを使う"
brick,煉瓦,brɪk,"〈C〉(1個の)『れんが』 / 〈U〉(材料としての)『れんが』 / 〈C〉(形が)れんがに似た物 / れんがの,れんが造りの / 〈建築物〉を=れんがで囲う,れんがで作る,…‘に'れんがを敷く《+『in』(『on』)+『名』》"
broadband,ブロードバンド；広帯域の,ˈbrɔdˌbænd,(周波数が)広帯域の
broaden,広げる,ˈbrɔdən,"…'を'広くする,広げる / 広くなる,広がる"
broadly,広く,ˈbrɔdli,"広く,あまねく / 明白に;露骨に / 大まかに"
brochure,パンフレット；小冊子,broʊˈʃʊr,"小冊子,パンフレット(pamphlet)"
broker,ブローカー；仲介者；仲介する,ˈbroʊkər,"ブローカー,仲買人"
brokerage,仲買,ˈbroʊkərɪʤ,"仲買業 / 仲買手数料,口銭"
browser,ブラウザ；拾い読みをする人,ˈbraʊzər,
brutal,凶悪な,ˈbrutəl,"『けものの』;けもののような;『残酷な』,野蛮な"
bubble,バブル；泡；泡立つ,ˈbʌbəl,"〈C〉『あわ』,あぶく / 〈U〉あわ立ち,あわ立ちの音 / 〈C〉(すぐ消える)あわのようなこと / 〈C〉『シャボン玉』 / 『あわ立つ』 / ぶくぶくと音を立てる,あわ立って流れる / 〈特に女性が〉気持をわかす,はしゃぐ《+『over』》"
buffer,バッファ；和らげるもの；衝撃を和らげる,ˈbʌfər,"(鉄道車両などの衝突の衝撃を弱める)緩衝器 / 間に立って争いや衝突の働撃を弱める人(物) / 物をみがく人(道具) / …'を'緩和する,和らげる / …'を'緩衝液で処理する"
bug,バグ；虫；悩ませる,bʌg,"《米》昆虫,(一般に)虫;(特に)カデトムシ(beetle) / 《おもに英》=bedbug / 《話》病原菌 / 《話》(機械の)故障 / 《話》(病的な)熱狂家;《the ~》…熱 / 《話》隠しマイク / …‘に'隠しマイクを取リ付ける / 《おもに米》…'を'悩ます,てこずらせる"
builder,建築業者；〜を形成するもの,ˈbɪldər,建築者;建築業者
bulk,かさ,bʌlk,"『かさばっていること』 / 《the bulk》(…の)大部分,大半《+『of』+『名』》 / ばら荷;(船の)積み荷 / かさばる,大きく見える"
bull,ブル,bʊl,"『雄牛』 / (象,鯨,アザラシなどの)雄 / (株の)買い方,強気筋"
